ds,y,is_holiday,is_promo
2015-01-02,468.9,0,0
2015-01-03,2203.151,1,0
2015-01-04,119.88799999999999,0,0
2015-01-06,5188.5199999999995,0,0
2015-01-07,601.0239999999999,0,0
2015-01-08,228.328,0,0
2015-01-09,469.436,0,0
2015-01-10,4.71,0,0
2015-01-11,4637.816,0,0
2015-01-12,5624.39,0,0
2015-02-02,211.64600000000002,0,0
2015-02-03,47.76,0,0
2015-02-04,1458.558,0,0
2015-02-05,506.12,0,0
2015-02-06,738.598,0,0
2015-02-07,79.56,0,0
2015-02-08,886.28,0,0
2015-02-09,3254.15,0,0
2015-02-10,598.144,0,0
2015-02-11,2126.37,0,0
2015-02-12,1771.808,0,0
2015-03-01,16.448,0,0
2015-03-02,97.11200000000001,0,0
2015-03-03,1345.8919999999998,0,0
2015-03-05,72.632,0,0
2015-03-06,531.16,0,0
2015-03-08,477.994,0,0
2015-03-09,22.08,0,0
2015-03-10,862.683,0,0
2015-03-11,2784.163,0,0
2015-03-12,505.88,0,0
2015-04-01,288.06,0,0
2015-04-02,134.38400000000001,0,0
2015-04-03,370.452,1,0
2015-04-04,475.844,0,0
2015-04-05,187.43200000000002,0,0
2015-04-06,456.272,0,0
2015-04-07,247.40800000000002,0,0
2015-04-08,2743.154,0,0
2015-04-10,728.7479999999999,0,0
2015-04-11,6693.7480000000005,0,0
2015-04-12,129.98,0,0
2015-05-01,19.536,1,0
2015-05-03,705.562,0,0
2015-05-04,5179.738,0,0
2015-05-05,260.977,0,0
2015-05-07,1444.104,0,0
2015-05-08,2408.7239999999997,0,0
2015-05-09,296.304,0,0
2015-05-10,191.9,0,0
2015-05-11,1694.564,0,0
2015-05-12,2963.642,0,0
2015-06-01,4407.1,0,0
2015-06-02,330.512,1,0
2015-06-04,1650.69,0,0
2015-06-05,254.456,0,0
2015-06-06,1374.0010000000002,0,0
2015-06-07,1038.472,0,0
2015-06-08,262.89,0,0
2015-06-09,100.36,0,0
2015-06-10,494.71,0,0
2015-06-12,1970.978,0,0
2015-07-01,87.15799999999999,0,0
2015-07-02,180.32,0,0
2015-07-03,1561.062,0,0
2015-07-04,1021.1700000000001,0,0
2015-07-05,1091.35,0,0
2015-07-06,281.397,0,0
2015-07-07,241.19400000000002,0,0
2015-07-09,3523.875,0,0
2015-07-10,237.35999999999999,0,0
2015-07-11,1302.454,0,0
2015-07-12,548.4,0,0
2015-08-02,14.56,0,0
2015-08-04,1958.75,0,0
2015-08-05,1799.97,0,0
2015-08-06,2501.264,0,0
2015-08-07,763.0740000000001,0,0
2015-08-08,3955.629,0,0
2015-08-09,14228.428,0,0
2015-08-10,147.392,0,0
2015-08-11,333.576,0,0
2015-08-12,1095.12,0,0
2015-09-01,40.544,0,0
2015-09-05,394.48,0,0
2015-09-06,5463.008,0,0
2015-09-07,265.521,0,0
2015-09-08,3605.6850000000004,0,0
2015-09-09,4043.5879999999997,0,0
2015-09-10,249.35999999999999,0,0
2015-09-11,1574.094,0,0
2015-09-12,1522.652,0,0
2015-10-01,54.83,0,0
2015-10-03,741.956,0,0
2015-10-05,2343.799,0,0
2015-10-06,491.55,0,0
2015-10-09,1855.2279999999998,0,0
2015-10-10,2049.386,0,0
2015-10-11,2002.556,0,0
2015-10-12,573.336,0,0
2015-11-01,9.94,0,0
2015-11-02,2043.4,0,0
2015-11-03,918.314,0,0
2015-11-04,1915.24,0,0
2015-11-05,1642.802,0,0
2015-11-07,2022.356,0,0
2015-11-08,451.62,0,0
2015-11-09,127.95,0,0
2015-11-10,1381.164,0,0
2015-11-11,7836.978,0,0
2015-12-02,129.568,0,0
2015-12-04,1872.443,0,0
2015-12-05,734.846,0,0
2015-12-07,1960.012,0,0
2015-12-08,1545.73,0,0
2015-12-09,4904.66,1,0
2015-12-10,58.53,0,0
2015-12-11,901.6492,0,0
2015-12-12,4938.4045,0,0
2016-01-03,1642.1743999999999,0,0
2016-01-05,450.94,0,0
2016-01-06,834.1980000000001,0,0
2016-01-08,1011.696,0,0
2016-01-09,2367.564,0,0
2016-01-10,1158.414,0,0
2016-01-11,3106.1059999999998,0,0
2016-01-12,7130.594,0,0
2016-02-01,1932.096,0,0
2016-02-03,899.5699999999999,0,0
2016-02-04,299.22,0,0
2016-02-05,167.232,0,0
2016-02-07,1631.902,0,0
2016-02-08,1290.478,1,0
2016-02-10,1269.266,0,0
2016-02-11,5528.551,0,0
2016-03-01,1768.2215999999999,0,0
2016-03-02,492.836,0,0
2016-03-05,2198.76,0,0
2016-03-07,823.982,0,0
2016-03-09,1874.898,1,0
2016-03-10,275.218,0,0
2016-03-11,2800.846,0,0
2016-03-12,1972.645,0,0
2016-04-01,264.46000000000004,0,0
2016-04-04,1484.598,0,0
2016-04-05,1121.362,0,0
2016-04-06,1192.31,0,0
2016-04-07,1138.288,0,0
2016-04-09,1071.284,0,0
2016-04-10,505.58,0,0
2016-04-12,5185.814,0,0
2016-05-01,295.272,1,0
2016-05-03,1969.267,0,0
2016-05-04,2974.058,0,0
2016-05-06,1533.1979999999999,1,0
2016-05-07,121.646,0,0
2016-05-08,72.65,0,0
2016-05-09,934.1030000000001,0,0
2016-05-10,851.092,0,0
2016-05-11,834.874,0,0
2016-05-12,897.322,0,0
2016-06-01,31.538,1,0
2016-06-02,2432.544,0,0
2016-06-03,1555.244,0,0
2016-06-04,140.004,0,0
2016-06-07,1379.812,0,0
2016-06-08,494.86920000000003,0,0
2016-06-09,919.674,0,0
2016-06-11,11.481,0,0
2016-06-12,6061.502,0,0
2016-07-02,324.10999999999996,0,0
2016-07-03,807.54,0,0
2016-07-04,907.436,0,0
2016-07-05,305.622,0,0
2016-07-06,59.768,1,0
2016-07-08,968.206,0,0
2016-07-09,2922.667,0,0
2016-07-11,3073.073,0,0
2016-07-12,1338.298,0,0
2016-08-02,129.09199999999998,0,0
2016-08-03,2563.2960000000003,0,0
2016-08-05,3981.968,0,0
2016-08-06,145.504,0,0
